data,plot,plot.treatment,subplot,subplot.treatment,quadrat,max.height,tallest.species,small mammal holes,bare,thatch,Aica,Anar,Avena,Baca,Bado,Bapi,Brca,Brdi,Brho,Brmi,Care,Carp,Cheno,Civu,Coca,Con,Cyper,Cyper0sp2,Daca,Elgl,Eltr,flat0sedge,Gedi,Ger0sp,Gna,Hepu,Hobr,Hypo,Isce,Jubu,Jupa,Junc.sp,Junc.sp.2,Juoc,Lomu,Lope,Lyhy,Malva,Mepo,Myopo,Napu,Phaq,Poly,Rasa,Ruac,Rucr,Sil,Sima,Sonch,Spma,Trifol0sp,forb,grass,Vela,Ver,Vumy,total0cover,density.Daca,density.Elgl,density.Napu,total.native.density
2009,1,plastic,A,2,1,101,pa,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,0,0,0,0
2009,1,plastic,A,2,2,138,eg,0,3,70,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,2,0,2,4
2009,1,plastic,A,2,3,140,eg,2,2,85,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
2009,1,plastic,A,2,4,141,pa,1,1,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,10,66,0,0,0,0
2009,1,plastic,A,2,5,87,pa,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
2009,1,plastic,B,3,1,139,pa,0,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,40,121,8,0,0,8
2009,1,plastic,B,3,2,123,pa,0,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
2009,1,plastic,B,3,3,137,pa,2,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,3,0,1,4
2009,1,plastic,B,3,4,97,eg,0,1,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,94,4,0,0,4
2009,1,plastic,B,3,5,57,dc,2,10,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,2,8
2009,1,plastic,C,4,1,64,unk,0,25,75,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2009,1,plastic,C,4,2,124,pa,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0
2009,1,plastic,C,4,3,158,pa,1,35,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
2009,1,plastic,C,4,4,90,pa,0,1,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0
2009,1,plastic,C,4,5,81,pa,1,10,90,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
2009,1,plastic,D,1,1,141,pa,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0
2009,1,plastic,D,1,2,116,pa,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0
2009,1,plastic,D,1,3,113,pa,2,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0
2009,1,plastic,D,1,4,103,pa,0,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0
