Date,year,census,Plot,Subplot,VWC-percent
5/5/17,2017,1,1,A1,10.6
5/5/17,2017,1,1,A2,17.2
5/5/17,2017,1,1,A3,14
5/5/17,2017,1,1,B1,17.6
5/5/17,2017,1,1,B2,22.2
5/5/17,2017,1,1,B3,16.6
5/5/17,2017,1,1,C1,20.6
5/5/17,2017,1,1,C2,21.8
5/5/17,2017,1,1,C3,23.6
5/5/17,2017,1,1,D1,14.2
5/5/17,2017,1,1,D2,13.2
5/5/17,2017,1,1,D3,13.6
5/5/17,2017,1,2,A1,13.5
5/5/17,2017,1,2,A2,10.9
5/5/17,2017,1,2,A3,14.2
5/5/17,2017,1,2,B1,19.8
5/5/17,2017,1,2,B2,18
5/5/17,2017,1,2,B3,15
5/5/17,2017,1,2,C1,15.7
5/5/17,2017,1,2,C2,10
5/5/17,2017,1,2,C3,13.6
5/5/17,2017,1,2,D1,15.4
5/5/17,2017,1,2,D2,21
5/5/17,2017,1,2,D3,20.1
5/5/17,2017,1,3,A1,16.7
5/5/17,2017,1,3,A2,15.8
5/5/17,2017,1,3,A3,22.2
5/5/17,2017,1,3,B1,20.2
5/5/17,2017,1,3,B2,18.8
5/5/17,2017,1,3,B3,24.6
5/5/17,2017,1,3,C1,17.5
5/5/17,2017,1,3,C2,15.7
5/5/17,2017,1,3,C3,22.4
5/5/17,2017,1,3,D1,17.1
5/5/17,2017,1,3,D2,14.2
5/5/17,2017,1,3,D3,20.2
5/5/17,2017,1,5,A1,6.6
5/5/17,2017,1,5,A2,11.5
5/5/17,2017,1,5,A3,17.5
5/5/17,2017,1,5,B1,18.6
5/5/17,2017,1,5,B2,13.8
5/5/17,2017,1,5,B3,13.6
5/5/17,2017,1,5,C1,16.5
5/5/17,2017,1,5,C2,24.1
5/5/17,2017,1,5,C3,32.6
5/5/17,2017,1,5,D1,14.2
5/5/17,2017,1,5,D2,10
5/5/17,2017,1,5,D3,10.6
5/5/17,2017,1,7,A1,26.6
5/5/17,2017,1,7,A2,22.2
5/5/17,2017,1,7,A3,20.4
5/5/17,2017,1,7,B1,14.3
5/5/17,2017,1,7,B2,11
5/5/17,2017,1,7,B3,19
5/5/17,2017,1,7,C1,18.9
5/5/17,2017,1,7,C2,18.1
5/5/17,2017,1,7,C3,23.6
5/5/17,2017,1,7,D1,19
5/5/17,2017,1,7,D2,20.4
5/5/17,2017,1,7,D3,20.4
5/5/17,2017,1,8,A1,17.2
5/5/17,2017,1,8,A2,21.2
5/5/17,2017,1,8,A3,22.8
5/5/17,2017,1,8,B1,20.9
5/5/17,2017,1,8,B2,18.8
5/5/17,2017,1,8,B3,27.1
5/5/17,2017,1,8,C1,21.9
5/5/17,2017,1,8,C2,19.6
5/5/17,2017,1,8,C3,17.2
5/5/17,2017,1,8,D1,24.2
5/5/17,2017,1,8,D2,26.8
5/5/17,2017,1,8,D3,26.8
5/5/17,2017,1,9,A1,50.2
5/5/17,2017,1,9,A2,50.8
5/5/17,2017,1,9,A3,45.8
5/5/17,2017,1,9,B1,31
5/5/17,2017,1,9,B2,33.4
5/5/17,2017,1,9,B3,40.8
5/5/17,2017,1,9,C1,42.6
5/5/17,2017,1,9,C2,41.6
5/5/17,2017,1,9,C3,34.2
5/5/17,2017,1,9,D1,42
5/5/17,2017,1,9,D2,42.4
5/5/17,2017,1,9,D3,47.7
5/5/17,2017,1,10,A1,37.1
5/5/17,2017,1,10,A2,40
5/5/17,2017,1,10,A3,33.6
5/5/17,2017,1,10,B1,33.8
5/5/17,2017,1,10,B2,37.7
5/5/17,2017,1,10,B3,35.2
5/5/17,2017,1,10,C1,40.8
5/5/17,2017,1,10,C2,36.9
5/5/17,2017,1,10,C3,33
5/5/17,2017,1,10,D1,43
5/5/17,2017,1,10,D2,45.2
5/5/17,2017,1,10,D3,39.2
5/29/17,2017,2,1,A1,6.9
5/29/17,2017,2,1,A2,7
5/29/17,2017,2,1,A3,4.4
5/29/17,2017,2,1,B1,12.4
5/29/17,2017,2,1,B2,11
5/29/17,2017,2,1,B3,13.1
5/29/17,2017,2,1,C1,10.6
5/29/17,2017,2,1,C2,13.4
5/29/17,2017,2,1,C3,15.6
5/29/17,2017,2,1,D1,10
5/29/17,2017,2,1,D2,5.8
5/29/17,2017,2,1,D3,7.2
5/29/17,2017,2,2,A1,6.7
5/29/17,2017,2,2,A2,9.2
5/29/17,2017,2,2,A3,7.7
5/29/17,2017,2,2,B1,6.5
5/29/17,2017,2,2,B2,5.8
5/29/17,2017,2,2,B3,6
5/29/17,2017,2,2,C1,8.6
5/29/17,2017,2,2,C2,13.5
5/29/17,2017,2,2,C3,8.2
5/29/17,2017,2,2,D1,10.1
5/29/17,2017,2,2,D2,10.8
5/29/17,2017,2,2,D3,7.8
5/29/17,2017,2,3,A1,11.5
5/29/17,2017,2,3,A2,8.8
5/29/17,2017,2,3,A3,10.8
5/29/17,2017,2,3,B1,6.2
5/29/17,2017,2,3,B2,7.6
5/29/17,2017,2,3,B3,10.3
5/29/17,2017,2,3,C1,11.6
5/29/17,2017,2,3,C2,7.8
5/29/17,2017,2,3,C3,12
5/29/17,2017,2,3,D1,6.4
5/29/17,2017,2,3,D2,9.8
5/29/17,2017,2,3,D3,9.6
5/29/17,2017,2,5,A1,11.8
5/29/17,2017,2,5,A2,4.8
5/29/17,2017,2,5,A3,10.4
5/29/17,2017,2,5,B1,7.3
5/29/17,2017,2,5,B2,10.6
5/29/17,2017,2,5,B3,7.6
5/29/17,2017,2,5,C1,8.6
5/29/17,2017,2,5,C2,17
5/29/17,2017,2,5,C3,8.4
5/29/17,2017,2,5,D1,6
5/29/17,2017,2,5,D2,9.4
5/29/17,2017,2,5,D3,5.5
5/29/17,2017,2,7,A1,11.2
5/29/17,2017,2,7,A2,7.2
5/29/17,2017,2,7,A3,6.8
5/29/17,2017,2,7,B1,9
5/29/17,2017,2,7,B2,8
5/29/17,2017,2,7,B3,8
5/29/17,2017,2,7,C1,8
5/29/17,2017,2,7,C2,12.6
5/29/17,2017,2,7,C3,12.8
5/29/17,2017,2,7,D1,12.2
5/29/17,2017,2,7,D2,7.8
5/29/17,2017,2,7,D3,15
5/29/17,2017,2,8,A1,22.8
5/29/17,2017,2,8,A2,18
5/29/17,2017,2,8,A3,18.6
5/29/17,2017,2,8,B1,11.6
5/29/17,2017,2,8,B2,11.3
5/29/17,2017,2,8,B3,13.8
5/29/17,2017,2,8,C1,4.9
5/29/17,2017,2,8,C2,13
5/29/17,2017,2,8,C3,14.2
5/29/17,2017,2,8,D1,9.2
5/29/17,2017,2,8,D2,12.6
5/29/17,2017,2,8,D3,8.4
5/29/17,2017,2,9,A1,20
5/29/17,2017,2,9,A2,14.8
5/29/17,2017,2,9,A3,10.4
5/29/17,2017,2,9,B1,10.2
5/29/17,2017,2,9,B2,8.2
5/29/17,2017,2,9,B3,13.4
5/29/17,2017,2,9,C1,10.6
5/29/17,2017,2,9,C2,13.7
5/29/17,2017,2,9,C3,14.6
5/29/17,2017,2,9,D1,14.6
5/29/17,2017,2,9,D2,10.6
5/29/17,2017,2,9,D3,10.6
5/29/17,2017,2,10,A1,15.4
5/29/17,2017,2,10,A2,6.8
5/29/17,2017,2,10,A3,10.4
5/29/17,2017,2,10,B1,5.2
5/29/17,2017,2,10,B2,7.2
5/29/17,2017,2,10,B3,4.6
5/29/17,2017,2,10,C1,5.2
5/29/17,2017,2,10,C2,10.3
5/29/17,2017,2,10,C3,11.8
5/29/17,2017,2,10,D1,8
5/29/17,2017,2,10,D2,12.3
5/29/17,2017,2,10,D3,10.8
6/26/17,2017,3,1,A1,6.1
6/26/17,2017,3,1,A2,3.8
6/26/17,2017,3,1,A3,2.8
6/26/17,2017,3,1,B1,3.7
6/26/17,2017,3,1,B2,6.2
6/26/17,2017,3,1,B3,2.4
6/26/17,2017,3,1,C1,6.8
6/26/17,2017,3,1,C2,3.1
6/26/17,2017,3,1,C3,2.8
6/26/17,2017,3,1,D1,1.6
6/26/17,2017,3,1,D2,1.2
