year,plot,treatment,subplot,subplot.initial,quad,Phaq,Phaq Tiller,max ht cm.,max ht sp.,thatch,Bare soil,holes,Bado,Bapi,Brca,Brdi,Brho,Brmi,Care,Carp,Cheno,Civu,Coca,Cyper,Cyper sp2,Daca,Daca INDIV,Elgl,Elgl INDIV,flat sedge,Gedi,Ger sp,Gna,Hepu,Hobr,Homu,Hypo,Isce,Jubu,Junc sp,Junc sp.2,Jume,Juoc,jupa,Lomu,Lope,Lyhy,Malva,Mepo,Moss,Myopo,Napu,Napu INDIV,Poly,Rasa,Ruac,Rucr,Sedge,Sil,Sima,Sonch,Spma,Stbu,Trifol sp,Unid forb,unID grass,Ver,Vumy,Notes:
2017,1,Plastic,A,2,1,80,40,101,Phaq,95,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2017,1,Plastic,A,2,2,0,0,111,Phaq,95,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2017,1,Plastic,A,2,3,60,13,76,Phaq,50,40,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2017,1,Plastic,A,2,4,10,3,96,Phaq,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2017,1,Plastic,A,2,5,20,5,96,Phaq,95,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2017,1,Plastic,B,3,1,50,24,75,Phaq,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2017,1,Plastic,B,3,2,30,21,89,Brho,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2017,1,Plastic,B,3,3,40,17,94,Phaq,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,Plastic,B,3,4,70,53,81,Phaq,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
2017,1,Plastic,B,3,5,30,15,54,Phaq,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2017,1,Plastic,C,4,1,80,49,62,Phaq,95,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
